id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
2IZbLhxz0mxxEJc80mSnBK,0.414,0.78,5,-3.315,0,0.124,0.389,2.06E-6,0.353,0.272,118.496,285440,5
61jxAzTWM3U0LA4XbVF41N,0.482,0.726,6,-2.428,0,0.24,0.0679,3.48E-5,0.441,0.597,175.976,224587,4
4QeREpM1fjdBY2xxN27Quy,0.644,0.889,2,-3.073,1,0.312,0.107,0.0,0.339,0.437,99.931,298853,4
6jrFLYKI0fLGNeT8QqhvXg,0.459,0.876,9,-5.69,1,0.316,0.0159,0.0,0.0815,0.556,69.657,46360,4
10SJKWIwyjuXHxyOfT4Mt6,0.493,0.438,2,-5.995,1,0.033,0.556,0.0,0.251,0.158,70.078,304013,4
5OMOiEvzTBbNgZFa0nKMzc,0.356,0.399,4,-5.241,0,0.0305,0.684,5.82E-6,0.326,0.235,127.049,319747,4
3C2fYn5HuU0BQirIkUvT7T,0.462,0.563,2,-4.932,1,0.0658,0.136,4.11E-5,0.455,0.0836,152.6,392952,4
2a6CqyjyseTaZ9XFV1uLuG,0.469,0.31,9,-6.655,1,0.0348,0.934,0.0,0.0883,0.445,93.524,252466,3
2HVJpBSh3RSbrt0ApWTG0t,0.45,0.808,8,-5.289,1,0.0645,0.0511,3.23E-5,0.101,0.037,134.053,215920,4
3D3Wcdtl05GD15NvwmyeQK,0.751,0.571,3,-5.749,0,0.0769,0.349,0.0325,0.221,0.454,94.945,183009,4
78RtgeXImxVCNZ1MfTTEer,0.871,0.7,9,-3.8,0,0.0827,0.185,5.72E-6,0.176,0.499,118.0,216738,4
0lbRmyhpAOybW1Qs7mpgcH,0.413,0.311,0,-6.667,1,0.0464,0.825,4.88E-5,0.121,0.15,160.183,181838,3
1tW0bQxbjfXteWbsMJgkqP,0.854,0.682,9,-3.697,0,0.0904,0.0367,5.07E-5,0.34,0.643,96.022,183415,4
5iW4gsFj2TrhQ9ST6KKwJd,0.822,0.64,1,-4.704,1,0.29,0.416,7.98E-5,0.213,0.642,104.032,166256,4
4ua0LMy9sxhIqJImWB2wHm,0.441,0.486,4,-4.885,1,0.0671,0.344,0.0,0.138,0.431,174.796,228636,3
