id,artist_id,album_id,disc_number,explicit,name,track_number,popularity,duration_ms,spotify_url
43wVj2ZOEyhIKWKBJWdxT2,20JZFwl6HVl6yg8a4H3ZqK,25DhBz5cckEAFcivcSzSTo,1,false,God Killed Rock And Roll,6,36,257148,https://open.spotify.com/track/43wVj2ZOEyhIKWKBJWdxT2
61aS3LDHi60ZZr3ZpHG2AP,20JZFwl6HVl6yg8a4H3ZqK,25DhBz5cckEAFcivcSzSTo,1,false,Say It Louder,7,42,210559,https://open.spotify.com/track/61aS3LDHi60ZZr3ZpHG2AP
5SJdekNLV0K53bTxkP3tyq,20JZFwl6HVl6yg8a4H3ZqK,25DhBz5cckEAFcivcSzSTo,1,false,Sugar Soaker,8,37,191239,https://open.spotify.com/track/5SJdekNLV0K53bTxkP3tyq
5j5C6VYjXlzXRzpY9liMC6,20JZFwl6HVl6yg8a4H3ZqK,25DhBz5cckEAFcivcSzSTo,1,false,Something About Maggie,9,34,200718,https://open.spotify.com/track/5j5C6VYjXlzXRzpY9liMC6
6dXgd9fAFuvPZClNaldbLe,20JZFwl6HVl6yg8a4H3ZqK,25DhBz5cckEAFcivcSzSTo,1,false,Sad Clown,10,36,226069,https://open.spotify.com/track/6dXgd9fAFuvPZClNaldbLe
1bk4BhmfH3H9vsBSheCZAP,20JZFwl6HVl6yg8a4H3ZqK,25DhBz5cckEAFcivcSzSTo,1,false,All by Yourself,11,33,258930,https://open.spotify.com/track/1bk4BhmfH3H9vsBSheCZAP
0HoAVYfPiPE8NZg7u6aHBT,20JZFwl6HVl6yg8a4H3ZqK,25DhBz5cckEAFcivcSzSTo,1,false,Do It To Death,12,34,275699,https://open.spotify.com/track/0HoAVYfPiPE8NZg7u6aHBT
3BDxv4ORzOpXAsa4lWVl4i,20JZFwl6HVl6yg8a4H3ZqK,6ApYSpXF8GxZAgBTHDzYge,1,true,(Fuck A) Silver Lining,1,48,168613,https://open.spotify.com/track/3BDxv4ORzOpXAsa4lWVl4i
76vMKwFtdDDCLcM6zXybjB,20JZFwl6HVl6yg8a4H3ZqK,6ApYSpXF8GxZAgBTHDzYge,1,false,Say Amen (Saturday Night),2,60,189186,https://open.spotify.com/track/76vMKwFtdDDCLcM6zXybjB
22oEJW6r2rMb9z4IntfyEa,20JZFwl6HVl6yg8a4H3ZqK,6ApYSpXF8GxZAgBTHDzYge,1,false,"Hey Look Ma, I Made It",3,63,169666,https://open.spotify.com/track/22oEJW6r2rMb9z4IntfyEa
1rqqCSm0Qe4I9rUvWncaom,20JZFwl6HVl6yg8a4H3ZqK,6ApYSpXF8GxZAgBTHDzYge,1,false,High Hopes,4,79,190946,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
0wdV94AXGRphrbkDWLNzVC,20JZFwl6HVl6yg8a4H3ZqK,6ApYSpXF8GxZAgBTHDzYge,1,false,Roaring 20s,5,54,186600,https://open.spotify.com/track/0wdV94AXGRphrbkDWLNzVC
6PFoEnjp0PAe5siGswjH9i,20JZFwl6HVl6yg8a4H3ZqK,6ApYSpXF8GxZAgBTHDzYge,1,false,Dancing's Not a Crime,6,47,219466,https://open.spotify.com/track/6PFoEnjp0PAe5siGswjH9i
5trCWbYtza0QUxdmF9HAPX,20JZFwl6HVl6yg8a4H3ZqK,6ApYSpXF8GxZAgBTHDzYge,1,true,One of the Drunks,7,49,198946,https://open.spotify.com/track/5trCWbYtza0QUxdmF9HAPX
4hUR3thIs01mQUtVmZFJ8F,20JZFwl6HVl6yg8a4H3ZqK,6ApYSpXF8GxZAgBTHDzYge,1,false,The Overpass,8,45,177800,https://open.spotify.com/track/4hUR3thIs01mQUtVmZFJ8F
50Hv5NZIM0puIUoBttjpfb,20JZFwl6HVl6yg8a4H3ZqK,6ApYSpXF8GxZAgBTHDzYge,1,false,King of the Clouds,9,52,160746,https://open.spotify.com/track/50Hv5NZIM0puIUoBttjpfb
18ULKfQl3KpCnklAKFfO2t,20JZFwl6HVl6yg8a4H3ZqK,6ApYSpXF8GxZAgBTHDzYge,1,false,Old Fashioned,10,46,166733,https://open.spotify.com/track/18ULKfQl3KpCnklAKFfO2t
18xmRkPWE0sGUzFyNNAAhN,20JZFwl6HVl6yg8a4H3ZqK,6ApYSpXF8GxZAgBTHDzYge,1,false,Dying in LA,11,48,229053,https://open.spotify.com/track/18xmRkPWE0sGUzFyNNAAhN
6cum9a3BtaYIBTPrmqsGdd,20JZFwl6HVl6yg8a4H3ZqK,2VnKzCESTePshnbUALlDt2,1,false,"Don't Threaten Me with a Good Time - Live at Amway Center, Orlando, FL, 4/14/2017",1,28,285419,https://open.spotify.com/track/6cum9a3BtaYIBTPrmqsGdd
41HszkNfEE8OKbqermRsgm,20JZFwl6HVl6yg8a4H3ZqK,2VnKzCESTePshnbUALlDt2,1,false,"LA Devotee - Live at Amway Center, Orlando, FL, 4/14/2017",2,27,196031,https://open.spotify.com/track/41HszkNfEE8OKbqermRsgm
1tdX9EEKLg4we2BBf8mWzu,20JZFwl6HVl6yg8a4H3ZqK,2VnKzCESTePshnbUALlDt2,1,false,"Ready to Go (Get Me Out of My Mind) - Live at Amway Center, Orlando, FL, 4/14/2017",3,25,232225,https://open.spotify.com/track/1tdX9EEKLg4we2BBf8mWzu
02d3MXxsO0AP3DsoJGOaIt,20JZFwl6HVl6yg8a4H3ZqK,2VnKzCESTePshnbUALlDt2,1,false,"Golden Days - Live at Amway Center, Orlando, FL, 4/14/2017",4,26,255404,https://open.spotify.com/track/02d3MXxsO0AP3DsoJGOaIt
5lHxUGPPC3wtZH8UQxsFr7,20JZFwl6HVl6yg8a4H3ZqK,2VnKzCESTePshnbUALlDt2,1,false,"Vegas Lights - Live at Amway Center, Orlando, FL, 4/14/2017",5,25,199094,https://open.spotify.com/track/5lHxUGPPC3wtZH8UQxsFr7
7wnYW5zboAaiHE5KBaVc0Z,20JZFwl6HVl6yg8a4H3ZqK,2VnKzCESTePshnbUALlDt2,1,false,"A Fever You Can't Sweat Out Medley - Live at Amway Center, Orlando, FL, 4/14/2017",6,26,270356,https://open.spotify.com/track/7wnYW5zboAaiHE5KBaVc0Z
68wbhtYYm11CSO7cZVjfEx,20JZFwl6HVl6yg8a4H3ZqK,2VnKzCESTePshnbUALlDt2,1,false,"Hallelujah - Live at Amway Center, Orlando, FL, 4/14/2017",7,24,237074,https://open.spotify.com/track/68wbhtYYm11CSO7cZVjfEx
7HzfAGGKnYVEHVsdkGUbXu,20JZFwl6HVl6yg8a4H3ZqK,2VnKzCESTePshnbUALlDt2,1,false,"Nine in the Afternoon - Live at Amway Center, Orlando, FL, 4/14/2017",8,26,190543,https://open.spotify.com/track/7HzfAGGKnYVEHVsdkGUbXu
49heun7OiWwsdhUyoukbBV,20JZFwl6HVl6yg8a4H3ZqK,2VnKzCESTePshnbUALlDt2,1,false,"Miss Jackson - Live at Amway Center, Orlando, FL, 4/14/2017",9,25,377437,https://open.spotify.com/track/49heun7OiWwsdhUyoukbBV
3ZvAEbxNItDMXcqbIkC5zc,20JZFwl6HVl6yg8a4H3ZqK,2VnKzCESTePshnbUALlDt2,1,false,"This Is Gospel - Live at Amway Center, Orlando, FL, 4/14/2017",10,32,197049,https://open.spotify.com/track/3ZvAEbxNItDMXcqbIkC5zc
3VxIsNkzxWQA8sPUT13qeb,20JZFwl6HVl6yg8a4H3ZqK,2VnKzCESTePshnbUALlDt2,1,false,"Death of a Bachelor - Live at Amway Center, Orlando, FL, 4/14/2017",11,25,207671,https://open.spotify.com/track/3VxIsNkzxWQA8sPUT13qeb
14u56kXmNRjyWJI28qj4qg,20JZFwl6HVl6yg8a4H3ZqK,2VnKzCESTePshnbUALlDt2,1,false,"The Ballad of Mona Lisa - Live at Amway Center, Orlando, FL, 4/14/2017",12,25,285373,https://open.spotify.com/track/14u56kXmNRjyWJI28qj4qg
4ub0WswLOa1xf8LMtc03ZS,20JZFwl6HVl6yg8a4H3ZqK,2VnKzCESTePshnbUALlDt2,1,false,"Movin' Out (Anthony's Song) - Live at Amway Center, Orlando, FL, 4/14/2017",13,30,252527,https://open.spotify.com/track/4ub0WswLOa1xf8LMtc03ZS
7mZ1A9pbWPvIAkbvcvFgdG,20JZFwl6HVl6yg8a4H3ZqK,2VnKzCESTePshnbUALlDt2,1,false,"Emperor's New Clothes - Live at Amway Center, Orlando, FL, 4/14/2017",14,27,189286,https://open.spotify.com/track/7mZ1A9pbWPvIAkbvcvFgdG
3GHDGjWdd8gL6gRvoQAcuD,20JZFwl6HVl6yg8a4H3ZqK,2VnKzCESTePshnbUALlDt2,1,false,"Nicotine - Live at Amway Center, Orlando, FL, 4/14/2017",15,24,220357,https://open.spotify.com/track/3GHDGjWdd8gL6gRvoQAcuD
3Xqk2oXSwyCamRW58w6p0O,20JZFwl6HVl6yg8a4H3ZqK,2VnKzCESTePshnbUALlDt2,1,true,"Crazy = Genius - Live at Amway Center, Orlando, FL, 4/14/2017",16,24,235985,https://open.spotify.com/track/3Xqk2oXSwyCamRW58w6p0O
4H8LoXbgzwbPotHKaxSH6o,20JZFwl6HVl6yg8a4H3ZqK,2VnKzCESTePshnbUALlDt2,1,false,"Let's Kill Tonight - Live at Amway Center, Orlando, FL, 4/14/2017",17,23,196362,https://open.spotify.com/track/4H8LoXbgzwbPotHKaxSH6o
4M7dn3CxwfaUfEZpS4yXj8,20JZFwl6HVl6yg8a4H3ZqK,2VnKzCESTePshnbUALlDt2,1,false,"Girls / Girls / Boys - Live at Amway Center, Orlando, FL, 4/14/2017",18,24,292009,https://open.spotify.com/track/4M7dn3CxwfaUfEZpS4yXj8
