id,artist_id,album_id,disc_number,explicit,name,track_number,popularity,duration_ms,spotify_url
1h1x0cQH99EbIhDJcNQARF,0A0FS04o6zMoto8OKPsDwY,6LYs6vCaIZd3kemw1JDGti,1,false,Idgaf (feat. Will Claye),23,50,202945,https://open.spotify.com/track/1h1x0cQH99EbIhDJcNQARF
2ZwXP8K5CHH0538ZNLCD5k,0A0FS04o6zMoto8OKPsDwY,6LYs6vCaIZd3kemw1JDGti,1,false,Hot Boyz Skit,24,0,18233,https://open.spotify.com/track/2ZwXP8K5CHH0538ZNLCD5k
6q4vkPiTuaxdXfaDtYrN5o,0A0FS04o6zMoto8OKPsDwY,6LYs6vCaIZd3kemw1JDGti,1,false,No Sleep (feat. Charley Hood & Ray J),25,17,235755,https://open.spotify.com/track/6q4vkPiTuaxdXfaDtYrN5o
0Rw98tNBEXLGgT4Etzjtav,0A0FS04o6zMoto8OKPsDwY,6LYs6vCaIZd3kemw1JDGti,1,false,Youzza Flip (feat. Jay305),26,20,163996,https://open.spotify.com/track/0Rw98tNBEXLGgT4Etzjtav
7jnCf2gFM6QmlCndId5mrp,0A0FS04o6zMoto8OKPsDwY,1egL5sRtA8uhrHkxY5CMrk,1,true,400 Degreez (Intro),1,6,32210,https://open.spotify.com/track/7jnCf2gFM6QmlCndId5mrp
61FbIg11Ry0KjA4CGIqaTd,0A0FS04o6zMoto8OKPsDwY,1egL5sRtA8uhrHkxY5CMrk,1,true,Ima Thug,2,34,201431,https://open.spotify.com/track/61FbIg11Ry0KjA4CGIqaTd
4ZEgCbXkypBDqXSauM3P8J,0A0FS04o6zMoto8OKPsDwY,1egL5sRtA8uhrHkxY5CMrk,1,true,Get Money & Fuck,3,16,164311,https://open.spotify.com/track/4ZEgCbXkypBDqXSauM3P8J
3yV7Ghm8ZfsoIWAsCSarZj,0A0FS04o6zMoto8OKPsDwY,1egL5sRtA8uhrHkxY5CMrk,1,false,Cali Living,4,31,228311,https://open.spotify.com/track/3yV7Ghm8ZfsoIWAsCSarZj
5Aoz1OYD9dD4iqFErXgO5Y,0A0FS04o6zMoto8OKPsDwY,1egL5sRtA8uhrHkxY5CMrk,1,true,Blunted,5,20,274861,https://open.spotify.com/track/5Aoz1OYD9dD4iqFErXgO5Y
53hoanwwA2eljramXMOrL1,0A0FS04o6zMoto8OKPsDwY,1egL5sRtA8uhrHkxY5CMrk,1,false,Gangbang,6,21,135524,https://open.spotify.com/track/53hoanwwA2eljramXMOrL1
3s6hmhfSQJ1JS8OUqox7xv,0A0FS04o6zMoto8OKPsDwY,1egL5sRtA8uhrHkxY5CMrk,1,true,I Like Head,7,15,172957,https://open.spotify.com/track/3s6hmhfSQJ1JS8OUqox7xv
5GIg7doaDr5OZYki70G5Qf,0A0FS04o6zMoto8OKPsDwY,1egL5sRtA8uhrHkxY5CMrk,1,false,Do It With My Tongue,8,14,203233,https://open.spotify.com/track/5GIg7doaDr5OZYki70G5Qf
2e1HL75nymuA6bBM2j5rFj,0A0FS04o6zMoto8OKPsDwY,1egL5sRtA8uhrHkxY5CMrk,1,true,Keenon Jackson,9,34,141715,https://open.spotify.com/track/2e1HL75nymuA6bBM2j5rFj
