id,followers,name,popularity,spotify_url
3TVXtAsR1Inumwj472S9r4,92719432,Drake,96,https://open.spotify.com/artist/3TVXtAsR1Inumwj472S9r4
06HL4z0CvFAxyc27GXpf02,124080125,Taylor Swift,100,https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02
4q3ewBCX7sLwd24euuV69X,86393789,Bad Bunny,95,https://open.spotify.com/artist/4q3ewBCX7sLwd24euuV69X
1Xyo4u8uXC1ZmMpatF05PJ,93001526,The Weeknd,96,https://open.spotify.com/artist/1Xyo4u8uXC1ZmMpatF05PJ
1uNFoZAHBGtllmzznpCI3s,78128982,Justin Bieber,91,https://open.spotify.com/artist/1uNFoZAHBGtllmzznpCI3s
6eUKZXaKkcviH0Ku9w2n3V,116652559,Ed Sheeran,89,https://open.spotify.com/artist/6eUKZXaKkcviH0Ku9w2n3V
7dGJo4pcD2V6oG8kP0tJRR,91828920,Eminem,93,https://open.spotify.com/artist/7dGJo4pcD2V6oG8kP0tJRR
0Y5tJX1MQlPlqiwlOH1tJY,33796073,Travis Scott,94,https://open.spotify.com/artist/0Y5tJX1MQlPlqiwlOH1tJY
66CXWjxzNUsdJxJ2JdwvnR,100518608,Ariana Grande,92,https://open.spotify.com/artist/66CXWjxzNUsdJxJ2JdwvnR
5K4W6rqBFWDnAN6FQUkS6x,27617871,Kanye West,93,https://open.spotify.com/artist/5K4W6rqBFWDnAN6FQUkS6x
246dkjvS1zLTtiykXe5h60,45597376,Post Malone,92,https://open.spotify.com/artist/246dkjvS1zLTtiykXe5h60
5pKCCKE2ajJHZ9KAiaK11H,63238206,Rihanna,92,https://open.spotify.com/artist/5pKCCKE2ajJHZ9KAiaK11H
1vyhD5VmyZ7KMfW5gqLgo5,37276808,J Balvin,88,https://open.spotify.com/artist/1vyhD5VmyZ7KMfW5gqLgo5
3Nrfpe0tUJi4K4DXYWgMUX,76326945,BTS,87,https://open.spotify.com/artist/3Nrfpe0tUJi4K4DXYWgMUX
6qqNVTkY8uBg9cP3Jd7DAH,101017185,Billie Eilish,96,https://open.spotify.com/artist/6qqNVTkY8uBg9cP3Jd7DAH
1RyvyyTE3xzB2ZywiAwp0i,18942245,Future,93,https://open.spotify.com/artist/1RyvyyTE3xzB2ZywiAwp0i
2YZyLoL8N0Wb9xBt1NhZWg,33599307,Kendrick Lamar,92,https://open.spotify.com/artist/2YZyLoL8N0Wb9xBt1NhZWg
4MCBfE4596Uoi2O4DtmEMz,35733783,Juice WRLD,88,https://open.spotify.com/artist/4MCBfE4596Uoi2O4DtmEMz
1i8SpTcr7yvPOmcqrbnVXY,37535437,Ozuna,87,https://open.spotify.com/artist/1i8SpTcr7yvPOmcqrbnVXY
0hCNtLu0JehylgoiP8L4Gh,32544696,Nicki Minaj,87,https://open.spotify.com/artist/0hCNtLu0JehylgoiP8L4Gh
0du5cEVh5yTK9QJze8zA0C,60668005,Bruno Mars,94,https://open.spotify.com/artist/0du5cEVh5yTK9QJze8zA0C
4gzpq5DPGxSnKTe4SA8HAU,54152230,Coldplay,92,https://open.spotify.com/artist/4gzpq5DPGxSnKTe4SA8HAU
15UsOTVnJzReFVN1VCnxy4,47127538,XXXTENTACION,89,https://open.spotify.com/artist/15UsOTVnJzReFVN1VCnxy4
6M2wZ9GZgrQXHCFfjv46we,44861133,Dua Lipa,88,https://open.spotify.com/artist/6M2wZ9GZgrQXHCFfjv46we
7bXgB6jMjp9ATFy66eO08Z,23725041,Chris Brown,88,https://open.spotify.com/artist/7bXgB6jMjp9ATFy66eO08Z
53XhwfbYqKCa1cC15pYq2q,54932385,Imagine Dragons,89,https://open.spotify.com/artist/53XhwfbYqKCa1cC15pYq2q
1URnnhqYAYcrqrcwql10ft,20352040,21 Savage,89,https://open.spotify.com/artist/1URnnhqYAYcrqrcwql10ft
1Cs0zKBU1kc0i8ypK3B9ai,26311129,David Guetta,90,https://open.spotify.com/artist/1Cs0zKBU1kc0i8ypK3B9ai
6LuN9FCkKOj5PcnpouEgny,16384852,Khalid,85,https://open.spotify.com/artist/6LuN9FCkKOj5PcnpouEgny
55Aa2cqylxrFIXC767Z865,15419341,Lil Wayne,87,https://open.spotify.com/artist/55Aa2cqylxrFIXC767Z865
4VMYDCV2IEDYJArk749S6m,35251647,Daddy Yankee,88,https://open.spotify.com/artist/4VMYDCV2IEDYJArk749S6m
2R21vXR83lH98kGeO99Y66,38348343,Anuel AA,88,https://open.spotify.com/artist/2R21vXR83lH98kGeO99Y66
00FQb4jTyendYWaN8pK0wa,40792945,Lana Del Rey,92,https://open.spotify.com/artist/00FQb4jTyendYWaN8pK0wa
04gDigrS5kc9YWfZHwBETP,42925051,Maroon 5,87,https://open.spotify.com/artist/04gDigrS5kc9YWfZHwBETP
1mcTU81TzQhprhouKaTkpq,23890296,Rauw Alejandro,90,https://open.spotify.com/artist/1mcTU81TzQhprhouKaTkpq
6vWDO969PvNqNYHIOW5v0m,38780311,Beyoncé,87,https://open.spotify.com/artist/6vWDO969PvNqNYHIOW5v0m
5f7VJjfbwm532GiveGC0ZK,18761524,Lil Baby,87,https://open.spotify.com/artist/5f7VJjfbwm532GiveGC0ZK
1r4hJ1h58CWwUQe3MxPuau,34748299,Maluma,86,https://open.spotify.com/artist/1r4hJ1h58CWwUQe3MxPuau
7CajNmpbOovFoOoasH2HaY,22897371,Calvin Harris,87,https://open.spotify.com/artist/7CajNmpbOovFoOoasH2HaY
790FomKkXshlbRYZFtlgla,51274273,KAROL G,92,https://open.spotify.com/artist/790FomKkXshlbRYZFtlgla
4O15NlyKLIASxsJ0PrXPfz,17836699,Lil Uzi Vert,86,https://open.spotify.com/artist/4O15NlyKLIASxsJ0PrXPfz
6l3HvQ5sa6mXTsMTB19rO5,24773395,J. Cole,87,https://open.spotify.com/artist/6l3HvQ5sa6mXTsMTB19rO5
7tYKF4w9nC0nq9CsPZTHyP,23770781,SZA,90,https://open.spotify.com/artist/7tYKF4w9nC0nq9CsPZTHyP
5WUlDfRSoLAfcVSX1WnrxN,28745859,Sia,85,https://open.spotify.com/artist/5WUlDfRSoLAfcVSX1WnrxN
7n2wHs1TKAczGzO7Dd2rGr,43463646,Shawn Mendes,84,https://open.spotify.com/artist/7n2wHs1TKAczGzO7Dd2rGr
50co4Is1HCEo8bhOyUWKpn,10587011,Young Thug,85,https://open.spotify.com/artist/50co4Is1HCEo8bhOyUWKpn
7iK8PXO48WeuP03g8YR51W,16836430,Myke Towers,89,https://open.spotify.com/artist/7iK8PXO48WeuP03g8YR51W
2wY79sveU1sp5g7SokKOiI,24464711,Sam Smith,84,https://open.spotify.com/artist/2wY79sveU1sp5g7SokKOiI
2LRoIwlKmHjgvigdNGBHNo,14302533,Feid,92,https://open.spotify.com/artist/2LRoIwlKmHjgvigdNGBHNo
1HY2Jd0NmPuamShAr6KMms,32193752,Lady Gaga,92,https://open.spotify.com/artist/1HY2Jd0NmPuamShAr6KMms
1dfeR4HaWDbWqFHLkxsg1d,51610858,Queen,86,https://open.spotify.com/artist/1dfeR4HaWDbWqFHLkxsg1d
329e4yvIujISKGKz1BZZbO,16049552,Farruko,84,https://open.spotify.com/artist/329e4yvIujISKGKz1BZZbO
